Counterpart Reference,Counterpart Name,IBAN Code,Booking Date,Value Date,Debit,Credit,Currency,Description,Internal Transaction Reference,External Transaction Reference,Prepared Date,Disclaimer
0031116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,29/09/2017,29/09/2017,,"2,253.30",GBP,"241-COUPON PAYMENT Our Ref : IE00B0M63060 1709/ /COUP/1/ 21,000 ISH.UK DIV.UCITS for securities account LX003111651 Ex Date : 14/09/2017 Unit price : 0.10730000 GBP Gross : 2,253.30 GBP Tax : 0",FR12303441002,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU07 007S 0031 1160 3GBP,29/09/2017,29/09/2017,,"4,292.00",GBP,"241-COUPON PAYMENT Our Ref : IE00B0M63060 1709/ /COUP/1/ 40,000 ISH.UK DIV.UCITS for securities account LX003111651 Ex Date : 14/09/2017 Unit price : 0.10730000 GBP Gross : 4,292.00 GBP Tax : 0",FR12303442002,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,25/09/2017,25/09/2017,"1,500.00",,USD,MARGE CACEIS derives listes Du 25/09/2017 .,,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,26/09/2017,26/09/2017,"2,400.00",,USD,MARGE CACEIS derives listes Du 26/09/2017 .,,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/09/2017,27/09/2017,"2,998,285.83",,USD,"231-PURCH 3,000,000 AMERIQUE 0 1910 Your Ref : 1094120001 Our Ref : 2705100078592506 US912796LY35 AMERIQUE 0 191017 for securities account LX003111651 Trade Date : 26/09/2017 Unit price : 99.942861",078592506,1094120001,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/09/2017,27/09/2017,"1,000,000.00",,USD,"332-WGS000035790649-BOM- SPOT FOREIGN EXCHANGE : your purchase of EUR 841,609.16 against USD 1,000,000.00 at the rate of USD/EUR 1.18820000 Transaction date : 25/09/2017 Value date : 27/09/2017",WGS035790649,WGSVB3CMW,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/09/2017,27/09/2017,"1,400.00",,USD,MARGE CACEIS derives listes Du 27/09/2017 .,,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,28/09/2017,28/09/2017,,"8,900.00",USD,MARGE CACEIS derives listes Du 28/09/2017 .,,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,28/09/2017,28/09/2017,,"2,475.20",USD,"241-DIVIDEND Our Ref : US3755581036 1709/ /COUP/1/ 6,800 GILEAD SCIENCES for securities account LX003111651 Ex Date : 14/09/2017 Unit price : 0.52000000 USD Gross : 3,536.00 USD Tax : 30.0000",FR12294381002,,04/10/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,29/09/2017,29/09/2017,,"1,844.50",USD,"241-DIVIDEND Our Ref : US2193501051 1708/ /COUP/1/ 17,000 CORNING for securities account LX003111651 Ex Date : 29/08/2017 Unit price : 0.15500000 USD Gross : 2,635.00 USD Tax : 30.0000",FR12300336002,,04/10/2017,
