Counterpart Reference,Counterpart Name,IBAN Code,Booking Date,Value Date,Debit,Credit,Currency,Description,Internal Transaction Reference,External Transaction Reference,Prepared Date,Disclaimer
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,24/04/2017,24/04/2017,"6,110.00",,USD,MARGE CACEIS d riv s list s Du 24/04/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,25/04/2017,25/04/2017,,"29,380.00",USD,MARGE CACEIS derives listes Du 25/04/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,26/04/2017,26/04/2017,,"19,500.00",USD,MARGE CACEIS derives listes Du 26/04/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"212,399.80",,USD,"231-PURCH 2,000 CHEVRON Your Ref : 0965040001 Our Ref : 2705100074252974 US1667641005 CHEVRON for securities account LX003111651 Trade Date : 24/04/2017 Unit price : 106.0408 USD",074252974,0965040001,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"3,640.00",,USD,MARGE CACEIS derives listes Du 27/04/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"218,371.65",,USD,"231-PURCH 3,500 MERCK Your Ref : 0965030001 Our Ref : 2705100074252976 US58933Y1055 MERCK for securities account LX003111651 Trade Date : 24/04/2017 Unit price : 62.2985 USD",074252976,0965030001,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,26/04/2017,,"2,842.00",USD,"241-DIVIDEND Our Ref : US17275R1023 1704/ /COUP/3/ 14,000 CISCO SYSTEMS for securities account LX003111651 Ex Date : 04/04/2017 Unit price : 0.29000000 USD Gross : 4,060.00 USD Tax : 30.0000",FR11597463002,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"259,800.00",,USD,"231-PURCH 3,000 LYONDELLBASELL A Your Ref : 0964940001 Our Ref : 2705100074252973 NL0009434992 LYONDELLBASELL A for securities account LX003111651 Trade Date : 24/04/2017 Unit price : 86.4703 USD",074252973,0964940001,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"203,069.40",,USD,"231-PURCH 6,000 PFIZER Your Ref : 0964930001 Our Ref : 2705100074252972 US7170811035 PFIZER for securities account LX003111651 Trade Date : 24/04/2017 Unit price : 33.7942 USD",074252972,0964930001,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,27/04/2017,27/04/2017,"245,336.40",,USD,"231-PURCH 2,000 JOHNSON JOHNSON Your Ref : 0964950001 Our Ref : 2705100074252975 US4781601046 JOHNSON JOHNSON for securities account LX003111651 Trade Date : 24/04/2017 Unit price : 122.4845 USD",074252975,0964950001,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,28/04/2017,28/04/2017,,"5,070.00",USD,MARGE CACEIS derives listes Du 28/04/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,28/04/2017,28/04/2017,,"3,729.72",USD,"241-DIVIDEND Our Ref : US2605431038 1703/ /COUP/1/ 11,583 DOW CHEMICAL for securities account LX003111651 Ex Date : 29/03/2017 Unit price : 0.46000000 USD Gross : 5,328.18 USD Tax : 30.0000",FR11613090002,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,28/04/2017,01/05/2017,,472.07,USD,Interest statement Period from 01/04/2017 to 30/04/2017 Credit interest : 472.69 USD Debit interest : 0.00 USD Credit int adjustment : -0.62 USD Debit int adjustment : 0.00 USD,WGSIN0263ZXPAY,WGS0263ZX,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,01/05/2017,01/05/2017,,"1,254.40",USD,"241-DIVIDEND Our Ref : US2371941053 1704/ /COUP/1/ 3,200 DARDEN RESTAURANTS for securities account LX003111651 Ex Date : 06/04/2017 Unit price : 0.56000000 USD Gross : 1,792.00 USD Tax : 30.0000",FR11622707002,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,01/05/2017,01/05/2017,"7,280.00",,USD,MARGE CACEIS derives listes Du 01/05/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,01/05/2017,01/05/2017,,"3,427.20",USD,"241-DIVIDEND Our Ref : US3703341046 1704/ /COUP/1/ 10,200 GENERAL MILLS for securities account LX003111651 Ex Date : 06/04/2017 Unit price : 0.48000000 USD Gross : 4,896.00 USD Tax : 30.0000",FR11622243002,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,02/05/2017,02/05/2017,,"8,320.00",USD,MARGE CACEIS derives listes Du 02/05/2017 .,,,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU17 007S 0031 1160 1USD,03/05/2017,03/05/2017,"1,430.00",,USD,MARGE CACEIS derives listes Du 03/05/2017 .,,,04/05/2017,
0031116,TFC DHARMARESEARCH EQUITY FUND,IBAN LU31 007S 0031 1160 8SEK,28/04/2017,01/05/2017,15.32,,SEK,Interest statement Period from 01/04/2017 to 30/04/2017 Credit interest : -15.46 SEK Debit interest : 0.00 SEK Credit int adjustment : 0.14 SEK Debit int adjustment : 0.00 SEK,WGSIN026400PAY,WGS026400,04/05/2017,
0031116,TFC DharmaResearch Equity Fund,IBAN LU38 007S 0031 1168 5EUR,25/04/2017,25/04/2017,"3,684.40",,EUR,DEPOSIT CACEIS derives listes Du 25/04/2017 .,,,04/05/2017,
